,string,position
0,1 красавіка 192,6
1,10 квадратных мет,8
2,10 чалавек і,8
3,11 красавіка 201,7
4,11 працэнтаў пас,7
5,12 беларускіх афі,8
6,12 прыватных асо,7
7,15 чэрвеня рэй,4
8,17 сакавіка па,10
9,17 сакавіка сва,10
10,19 сакавіка кал,10
11,956 года ў,5
12,958 года нар,5
13,20 лютага дав,4
14,20 сакавіка 201,10
15,20 сакавіка рас,8
16,0-х датах кра,5
17,200 чалавек атр,9
18,011 гадах так,7
19,011 года пам,5
20,012 гадах сіс,7
21,012 года скл,5
22,012 года у,5
23,012 года яна,5
24,012 годзе сяр,5
25,012 падрыхтуюць мін,11
26,013 гадах пра,7
27,21 сакавіка дыр,10
28,22 сакавіка пер,10
29,23 сакавіка на,10
30,23 сакавіка рас,10
31,23 сакавіка ў,10
32,24 мая ў,4
33,245 населеных пун,9
34,25 сакавіка па,10
35,267 выпадках пры,5
36,27 кастрычніка нац,8
37,27 лютага ес,4
38,29 беларускіх кам,8
39,370 даляраў па,7
40,42 тоны бул,4
41,5 красавіка 195,10
42,5 кілаграмаў пер,8
43,50 сартоў кул,7
44,500 даляраў ніз,7
45,53 краінах све,6
46,55 моцны вец,4
47,6 сакавіка пат,9
48,7 населеных пун,7
49,овы бацька не,5
50,9 сакавіка пад,9
51,irm з'яўляецца юры,9
52,irm зацікавілася інв,9
53,irm мае сва,5
54,irm маюць нам,5
55,und ужо пры,6
56,а будзе тры,3
57,а вельмі шма,3
58,а калі бел,5
59,а канкурсанткі дап,9
60,а колькасць апа,3
61,а пераадолець яго,8
62,а самым хал,3
63,а сняжана міх,6
64,а таксама 12,6
65,а таксама адк,6
66,а таксама пра,6
67,а таксама свя,6
68,а ўвогуле слу,4
69,аан выказвае сур,7
70,аан вінаваціць бел,9
71,аан яшчэ не,7
72,аб аператыўнай абв,9
73,аб ахвярах тэр,6
74,аб ацэнцы ўзд,5
75,аб грамадзянскіх і,10
76,аб загінулых у,6
77,аб захаванні кан,8
78,аб макраэканамічнай сіт,14
79,аб маючых адб,4
80,аб невыкананні бел,10
81,аб пакаранні дзм,8
82,аб пашырэнні сан,8
