,string,position
0,% земельных дол,5
1,% территории арм,8
2,% это рав,2
3,1 одни из,5
4,1 января 188,5
5,10 мая 195,4
6,10 минут зах,6
7,10 ноября 200,8
8,11 июня 191,4
9,11 ноября пер,8
10,169 году кат,7
11,12 августа 201,3
12,12 друзей оуш,7
13,120 миллионов кре,9
14,291 году он,7
15,13 декабря 200,9
16,13 июня 200,4
17,14 апреля 199,6
18,14 февраля 194,9
19,14 января гла,8
20,445 году был,7
21,15 апреля оте,6
22,15 марта был,4
23,15 наград меж,7
24,тию школы гру,6
25,150 заемщиков пог,6
26,150 километров к,9
27,590 году гал,7
28,16 мощных нас,4
29,16 октября нын,6
30,623 году нов,7
31,624 года гал,5
32,17 марта 192,4
33,17 октября 179,6
34,17 февраля 193,9
35,758 году пап,7
36,767 году при,7
37,5-м платова во,6
38,18 общинных губ,6
39,8-й избирательный окр,9
40,801 году пап,7
41,832 года игр,5
42,832 году быв,7
43,862 года его,5
44,888 году пос,7
45,894 года был,5
46,19 июля 191,4
47,190 тысяч шта,5
48,905 году и,7
49,907 года дал,5
50,910 года вых,5
51,916 года нач,5
52,917 года в,5
53,917 года с,5
54,919 года зол,5
55,0-х планерный спо,6
56,932 году по,7
57,935 года в,5
58,937 году был,7
59,0-е годы или,5
60,941 года по,5
61,941 году око,7
62,5-м вышел отт,5
63,947 года так,5
64,954 году к,7
65,956 году нач,7
66,961 года в,5
67,962 года бру,5
68,968 году был,7
69,0-е годы в,5
70,974 года быв,5
71,977 году тот,7
72,981 году зав,7
73,986 повысилось до,7
74,989 годах игр,7
75,0-х годах в,7
76,0-х годов ком,7
77,991 года коп,5
78,991 году он,7
79,991 году тим,7
80,995 года с,5
81,995 году в,7
82,995 году фра,7
83,999 году вла,7
84,2 остался за,5
85,20 минут без,6
86,20 подвод с,4
87,"0,4 доллара за",5
88,200 граммам тро,6
89,000 годом наб,5
90,000 давно док,8
91,0-х задули нов,7
92,001 году по,7
93,1-м ситуация был,8
94,002 года и,5
95,002 года чет,5
96,002 году пер,7
97,002 компания pan,8
98,003 года отк,5
99,004 года был,5
100,004 года в,5
101,004 году они,7
102,005 года про,5
103,005 проводился в,10
104,006 года и,5
105,006 годом выр,5
106,006 году оте,7
107,006 существовали раз,13
108,007 году из,7
109,009 года выш,5
110,009 году на,7
111,010 года ром,5
112,011 году огр,7
113,020 году гос,7
114,21 января 194,8
115,23 ноября 200,8
116,24 декабря 200,9
117,242 миллиарда дол,9
118,26 декабря 199,9
119,27 дворян и,7
120,27 декабря 197,9
121,280 миллиардов дол,9
122,29 июля 199,4
123,3 месяца адм,3
124,3 части на,3
125,30 французских вуз,8
126,300 заявок из,6
127,000 домов нел,7
128,31 декабря по,9
129,35 томов дел,6
130,7-й полет шат,7
131,38 или 71,3
132,4 нужных пре,3
133,4 тысяч тан,3
134,4 февраля 200,8
135,4 чрезвычайных про,9
