,string,position
0,# зради на,4
1,% домогосподарств мус,12
2,% досліджених дом,6
3,% кам'яного і,8
4,% можна вва,3
5,% нерудних кор,5
6,% протягом нас,4
7,% респондентів зму,9
8,% світового нас,8
9,% спрямували б,7
10,% спрямували б,9
11,% часу спо,3
12,05 квітня 201,5
13,1 010 аме,8
14,1 виготовлялись з,10
15,1 лютого в,5
16,1 після сло,3
17,1 січня 200,3
18,1 січня 201,3
19,1-у частину сво,8
20,10 бурштинської тес,8
21,10 лютого у,4
22,109 хвилині був,8
23,11 років пос,4
24,-го папа рим,5
25,12 видів ков,4
26,12 лютого 201,4
27,12 січня 201,4
28,120 нечаянців від,7
29,128 процесорів та,8
30,13 лютого 201,4
31,-ти середні зар,7
32,14 грудня 201,5
33,14 кролів про,7
34,14 років виж,4
35,-ої щорічної зус,7
36,4-ї щорічної зус,7
37,15 вересня 187,6
38,15 січня за,4
39,15 тисяч етн,4
40,160 тисяч наш,5
41,17 березня 201,4
42,17 грудня зан,5
43,7му році 3го,5
44,19 липня каб,4
45,19 серпня 194,4
46,907 року той,5
47,919 року він,5
48,922 року зас,5
49,-му створює про,7
50,937 році в,5
51,945 року бра,5
52,945 року йог,5
53,946 року впе,5
54,962 року в,5
55,-го парламент вел,8
56,986 році на,5
57,2 години піс,5
58,2 місяці том,3
59,2 травня з,4
60,2 трипільської тес,6
61,-ох міліярдів мар,8
62,2-х місяців *,5
63,20 базових вел,4
64,20 років наз,4
65,005 року мож,5
66,009 року №,5
67,011 року за,5
68,011 році міс,7
69,012 року вон,5
70,012 року №,5
71,014 році з,5
72,-го року кур,5
73,016 року в,5
74,016 року май,5
75,016 року ста,5
76,016 році дос,5
77,017 року за,5
78,017 року має,5
79,017 року мер,5
80,017 року о,5
81,017 року тар,5
82,017 років інв,5
83,018 року з,5
84,21 липня 201,4
85,22 тисячі мет,4
86,22 травня 201,5
87,23 березня 197,4
88,23 березня 201,4
89,230 родовищ мін,7
90,000 віршованих ряд,8
91,26 вересня 201,4
92,26 квітня 201,5
93,27 січня 194,4
94,28 школа пок,5
95,29 грудня 201,8
96,3 травня 201,4
97,-ти гімалайських екс,9
98,0-х років хар,5
99,308 мільярдів гри,8
100,31 січня два,4
101,31 травня 201,5
102,1в1 шукає іні,7
103,ної версії xp,5
104,ної версії xp,8
105,ний непрацюючий мук,10
106,ний киянин пом,6
107,35 мільйони євр,8
108,4 000 худ,5
109,4 курси про,3
110,40 хвилин і,7
111,42 фільмів про,4
112,5 зміївської тес,5
113,5 раза у,3
114,5 серпня до,3
115,5 травня 201,4
116,6 великих яхт,5
117,6 червня 201,3
118,60 років і,4
119,60 тисяч в’я,4
120,68 паркомісць мож,9
121,7 закону укр,5
122,7 класі ви,4
123,7 тисяч зра,3
124,7-ї години або,7
125,70 сторінок від,7
126,700 предметів кер,9
127,75 фахівців пси,9
128,8 тисяч роб,3
129,800 мінеральних дже,9
130,9 вересня зап,3
131,9 плану зах,4
132,9 серпня 194,3
133,9 червня 191,3
134,90 бітів або,4
135,95 окрема дес,6
136,95 тисяч зак,4
137,-му кохана роз,7
138,zon оголосив про,10
139,zon подав зая,7
140,zon ресурс із,7
141,ple установлено в,9
142,arm одноплатних ком,10
143,tib уже не,6
144,ics застосували вик,12
145,egg можна наз,8
146,gfp дикого тип,5
147,i кварталі 201,7
148,ix переліку дер,6
149,eme з'явилося в,8
150,s’а перейти в,10
151,rc1 чутливий до,5
152,xix столітті зам,6
153,xx століття оле,7
154,а андрій див,2
155,а атрибут пра,7
156,а баба бул,3
157,а баньки в,3
158,а батько бої,3
159,а борєю йог,5
160,а бути нос,5
161,а веприк на,3
162,а взагалі за,4
163,а водночас зра,8
164,а воду наб,3
165,а вона не,5
166,а воно ж,5
167,а воно ллє,5
168,а відтак єди,3
169,а відходи мет,6
170,а вінда вза,6
171,а грошей нік,4
172,а далі й,3
173,а далі ті,3
174,а держчиновникам під,9
175,а дзядзьо над,4
176,а довкола роз,6
177,а документики на,7
178,а забудовник в,7
179,а загальний рин,3
180,а замість їжі,3
181,а зверху пок,4
182,а здається у,5
183,а здебільша зов,6
184,а кремлю дов,7
185,а минуле каж,5
186,а михайло гна,5
187,а мого тат,5
188,а місцями зад,6
189,а навіть мал,5
190,а надгортанник зак,9
191,а надто з,6
192,а натомість вчи,5
193,а незадовго до,7
194,а новий tuc,5
195,а ніхто не,3
196,а отже й,2
197,а охоронці в,6
198,а папі і,3
199,а перешкоди від,8
200,а політологи роз,7
201,а потім вим,3
202,а потім на,3
203,а потім поп,3
204,а представниками сер,8
205,а прямо каж,4
206,а пізнаючи себ,9
207,а рано зно,3
208,а савченки та,6
209,а сама ана,3
210,а скласти її,5
211,а скільки кош,4
212,а спокушати інш,4
213,а також від,3
214,а також для,5
215,а також дія,5
216,а також за,3
217,а також заб,5
218,а також зав,3
219,а також зав,5
220,а також кон,3
221,а також пер,5
222,а також про,3
223,а також сис,3
224,а також спі,3
225,а також ті,3
226,а також уні,3
227,а також фор,3
228,а також із,3
229,а тато нар,3
230,а творчість не,4
231,а тепер діж,5
232,а тепер зви,5
233,а тепер роз,5
234,а територіяльні спо,10
235,а тоді зад,5
236,а тоді про,5
237,а уповноважений вис,9
238,а через 7,3
239,а читала все,5
240,а чого ти,5
241,а чого тіт,3
242,а чоловік зав,7
243,а чому б,5
244,а щастя літ,3
245,а ілюструє пер,8
246,а іноді про,2
247,а інформація под,8
248,а інший сто,2
249,а італьянцям сьо,7
250,аби вилити чай,5
251,аби ксеноморфи їх,10
252,аби тільки мат,5
253,або будь-яких інш,11
254,або виписаних із,5
255,або виступати в,10
256,або відмову у,8
257,або губити дар,7
258,або девід поп,5
259,або досягнення нео,7
260,або доцільно для,7
261,або завелика хар,9
262,або залученої ним,7
263,або зловживає спи,11
264,або иншим акт,4
265,або його пра,5
266,або кілька кер,5
267,або кілька міл,5
268,або ліцензіари не,11
269,або майже без,5
270,або навіть за,5
271,або надто сил,5
272,або наклали на,8
273,або нормативні вим,8
274,або опосередковані зби,13
275,або погашення под,7
276,або подасть її,7
277,або потрапили до,8
278,або прокляття род,9
279,або регіональними тор,10
280,або розвиненої кон,8
281,або справжньою нат,7
282,або спричиняється до,11
283,або старше ста,6
284,або стояла по,7
285,або територіальній гро,12
286,або тижнів том,5
287,або травмування тва,9
288,або тричі на,6
289,або тяжкої хво,8
290,або хоча б,7
291,або частково фін,9
292,або через кро,7
293,або які пор,6
294,або іншій дом,4
295,тно виховний хар,10
296,тно статево від,8
297,рій стояло ант,7
298,ції новоіменованого мін,12
299,кою українські вій,8
300,ний епістолярій лес,11
301,афи дорожче за,7
302,ння імен кор,6
303,мат називався акс,9
304,ому місті є,5
305,ної республіки кри,8
306,тор всесоюзного і,9
307,тор заслуговує вис,10
308,тор наполягає шо,11
309,тор низки ста,5
310,ора основної ста,7
311,рам завжди хоч,9
312,ром якої був,6
313,рці довелося при,9
314,рів лінгвістичний сма,12
315,оді навесні 193,7
316,ній виставці aer,5
317,том поліції дум,7
318,них наук укр,6
319,кої етики пуб,4
320,дже дотик до,5
321,дже зазвичай вде,10
322,дже тоді одн,5
323,ції разом із,7
324,ції сайту заб,5
325,ала капітану 1,9
326,ата найпроникливішої інт,11
327,тів українчиних дру,8
328,аес купують за,7
329,аж доки я,4
330,аж ніяк не,4
331,аж планшети зав,8
332,аж тоді дзя,6
333,аж через дес,4
334,ьке море утв,5
335,ого моря сер,5
336,оту амонійного тощ,8
337,мії аграрних нау,7
338,мії колекційну кар,10
339,мії пролетарської літ,10
340,нує вечір і,5
341,ром грають шим,6
342,ції вашого про,5
343,ції економічній скл,10
344,тор василь вас,7
345,ькі студії в,6
346,кій студії кур,6
347,иса після важ,5
348,кту ковтання є,8
349,кту чоловічий пру,9
350,нти розставлено зов,9
351,ери фактично пер,8
352,итм дає вис,5
353,але боявся вод,6
354,але боялися зап,5
355,але виключно ця,5
356,але вона виз,7
357,але вона від,5
358,але вона від,7
359,але вона дос,7
360,але відносини нал,8
361,але головне цей,10
362,але гонорар вон,7
363,але гонорар вон,9
364,але гімназія у,8
365,але жодна тип,5
366,але завдяки том,8
367,але заки мр,5
368,але законопроект про,9
369,але його обл,7
370,але його пис,7
371,але коли нат,7
372,але місто вел,8
373,але найприємніше оп’,10
374,але насправді це,9
375,але одяг був,4
376,але патрулю бул,8
377,але пристойна сце,6
378,але продовження кон,8
379,але пісня не,5
380,але раптом так,5
381,але союз віл,6
382,але тета мір,5
383,але точно вря,5
384,але треба спо,6
385,але учитель іта,6
386,але цілком сам,8
